lat,lon,density
35.14025,129.1095063,41
35.14025,129.1101381,47
35.14025,129.11077,50
35.14025,129.1114018,48
35.14025,129.1120337,47
35.14025,129.1126656,46
35.14025,129.1132974,46
35.14025,129.1139293,45
35.14025,129.1145611,45
35.14025,129.115193,44
35.14025,129.1158248,44
35.14025,129.1164567,44
35.14025,129.1170885,44
35.14025,129.1177204,45
35.1407,129.106663,37
35.1407,129.1072948,34
35.1407,129.1079267,33
35.1407,129.1085585,35
35.1407,129.1091904,41
35.1407,129.1098222,49
35.1407,129.1104541,64
35.1407,129.1110859,53
35.1407,129.1117178,49
35.1407,129.1123496,47
35.1407,129.1129815,46
35.1407,129.1136133,45
35.1407,129.1142452,45
35.1407,129.114877,44
35.1407,129.1155089,44
35.1407,129.1161407,44
35.1407,129.1167726,44
35.1407,129.1174044,44
35.14115,129.1069789,39
35.14115,129.1076107,38
35.14115,129.1082426,38
35.14115,129.1088744,40
35.14115,129.1095063,42
35.14115,129.1101381,29
35.14115,129.11077,64
35.14115,129.1114018,50
35.14115,129.1120337,48
35.14115,129.1126656,47
35.14115,129.1132974,46
35.14115,129.1139293,45
35.14115,129.1145611,44
35.14115,129.115193,43
35.14115,129.1158248,43
35.14115,129.1164567,43
35.14115,129.1170885,43
35.14115,129.1177204,44
35.1416,129.1072948,40
35.1416,129.1079267,40
35.1416,129.1085585,39
35.1416,129.1091904,39
35.1416,129.1098222,29
35.1416,129.1104541,29
35.1416,129.1110859,49
35.1416,129.1117178,49
35.1416,129.1123496,48
35.1416,129.1129815,46
35.1416,129.1136133,45
35.1416,129.1142452,44
35.1416,129.114877,43
35.1416,129.1155089,42
35.1416,129.1161407,42
35.1416,129.1167726,42
35.1416,129.1174044,43
35.14205,129.1076107,41
35.14205,129.1082426,34
35.14205,129.1088744,34
35.14205,129.1095063,34
35.14205,129.1101381,29
35.14205,129.11077,59
35.14205,129.1114018,59
35.14205,129.1120337,49
35.14205,129.1126656,47
35.14205,129.1132974,45
35.14205,129.1139293,44
35.14205,129.1145611,42
35.14205,129.115193,41
35.14205,129.1158248,40
35.14205,129.1164567,40
35.14205,129.1170885,41
35.14205,129.1177204,43
35.1425,129.1085585,34
35.1425,129.1091904,34
35.1425,129.1098222,59
35.1425,129.1104541,49
35.1425,129.1110859,49
35.1425,129.1117178,51
35.1425,129.1123496,48
35.1425,129.1129815,46
35.1425,129.1136133,44
35.1425,129.1142452,42
35.1425,129.114877,39
35.1425,129.1155089,37
35.1425,129.1161407,37
35.1425,129.1167726,39
35.1425,129.1174044,41
35.14295,129.1088744,46
35.14295,129.1095063,59
35.14295,129.1101381,49
35.14295,129.11077,49
35.14295,129.1114018,50
35.14295,129.1120337,49
35.14295,129.1126656,47
35.14295,129.1132974,44
35.14295,129.1139293,44
35.14295,129.1145611,44
35.14295,129.115193,32
35.14295,129.1158248,31
35.14295,129.1164567,35
35.14295,129.1170885,38
35.14295,129.1177204,41
35.1434,129.1091904,48
35.1434,129.1098222,49
35.1434,129.1104541,49
35.1434,129.1110859,49
35.1434,129.1117178,49
35.1434,129.1123496,48
35.1434,129.1129815,46
35.1434,129.1136133,44
35.1434,129.1142452,44
35.1434,129.114877,9
35.1434,129.1155089,9
35.1434,129.1161407,26
35.1434,129.1167726,35
35.1434,129.1174044,39
35.14385,129.1095063,48
35.14385,129.1101381,49
35.14385,129.11077,49
35.14385,129.1114018,49
35.14385,129.1120337,50
35.14385,129.1126656,49
35.14385,129.1132974,46
35.14385,129.1139293,42
35.14385,129.1145611,32
35.14385,129.115193,9
35.14385,129.1158248,9
35.14385,129.1164567,30
35.14385,129.1170885,37
35.14385,129.1177204,41
35.1443,129.1098222,47
35.1443,129.1104541,48
35.1443,129.1110859,49
35.1443,129.1117178,52
35.1443,129.1123496,53
35.1443,129.1129815,50
35.1443,129.1136133,46
35.1443,129.1142452,40
35.1443,129.114877,30
35.1443,129.1155089,9
35.1443,129.1161407,30
35.1443,129.1167726,37
35.1443,129.1174044,41
35.14475,129.1095063,44
35.14475,129.1101381,45
35.14475,129.11077,47
35.14475,129.1114018,54
35.14475,129.1120337,63
35.14475,129.1126656,60
35.14475,129.1132974,44
35.14475,129.1139293,44
35.14475,129.1145611,41
35.14475,129.115193,37
35.14475,129.1158248,36
